concept_id_1,concept_id_2,relationship_id,valid_start_date.x,valid_end_date.x,invalid_reason.x,concept_name.x,concept_code.x,domain_id.x,vocabulary_id.x,concept_class_id.x,concept_name.y,domain_id.y,vocabulary_id.y,concept_class_id.y,standard_concept,concept_code.y,valid_start_date.y,valid_end_date.y,invalid_reason.y,stem,input_rows,Patient.Count,Event.Count
42537744,725613,Mapped from,20210117,20991231,NA,Transplanted cornea present,737299009,Observation,SNOMED,Clinical Finding,"Corneal transplant rejection, unspecified eye",Condition,ICD10CM,7-char billing code,NA,T86.8409,20210101,20991231,NA,"Corneal transplant rejection, ",1,504,2188
42537744,725619,Mapped from,20210117,20991231,NA,Transplanted cornea present,737299009,Observation,SNOMED,Clinical Finding,"Corneal transplant infection, left eye",Condition,ICD10CM,7-char billing code,NA,T86.8422,20210101,20991231,NA,"Corneal transplant infection, ",1,52,294
42538748,45591369,Mapped from,20191103,20991231,NA,Retained nonmagnetic foreign body in right eye,762526006,Condition,SNOMED,Disorder,"Retained (nonmagnetic) (old) foreign body in iris or ciliary body, right eye",Condition,ICD10CM,6-char billing code,NA,H44.721,19700101,20991231,NA,"Retained (nonmagnetic) (old) foreign body in iris or ciliary body, ",1,171,405
37311832,37200072,Mapped from,20220818,20991231,NA,Stable treated proliferative retinopathy of left eye due to diabetes mellitus,816962002,Condition,SNOMED,Disorder,"Diabetes mellitus due to underlying condition with stable proliferative diabetic retinopathy, left eye",Condition,ICD10CM,7-char billing code,NA,E08.3552,20170101,20991231,NA,"Diabetes mellitus due to underlying condition with stable proliferative diabetic retinopathy, ",1,715,3181
604700,45557413,Mapped from,20220818,20991231,NA,Glaucoma suspect caused by corticosteroid,1003530008,Condition,SNOMED,Disorder,"Steroid responder, right eye",Condition,ICD10CM,6-char billing code,NA,H40.041,20061230,20991231,NA,"Steroid responder, ",1,24325,101642
4338760,1595485,Mapped from,20240227,20991231,NA,Malignant melanoma of eyelid,231834005,Condition,SNOMED,Disorder,"Malignant melanoma of left upper eyelid, including canthus",Condition,ICD10CM,6-char billing code,NA,C43.121,20190101,20991231,NA,"Malignant melanoma of left upper eyelid, including canthus",1,685,2735
4338760,1595486,Mapped from,20240227,20991231,NA,Malignant melanoma of eyelid,231834005,Condition,SNOMED,Disorder,"Malignant melanoma of left lower eyelid, including canthus",Condition,ICD10CM,6-char billing code,NA,C43.122,20190101,20991231,NA,"Malignant melanoma of left lower eyelid, including canthus",1,880,3183
37168305,45567034,Mapped from,20240227,20991231,NA,Break of retina of left eye,1279733006,Condition,SNOMED,Disorder,"Unspecified retinal break, left eye",Condition,ICD10CM,6-char billing code,NA,H33.302,19700101,20991231,NA,"Unspecified retinal break, ",1,73344,185254
40274883,45600934,Mapped from,20240227,20991231,NA,Phthisis bulbi,111510002,Condition,SNOMED,Disorder,"Atrophy of globe, unspecified eye",Condition,ICD10CM,6-char billing code,NA,H44.529,19700101,20991231,NA,"Atrophy of globe, ",1,5997,16634
43530804,785960,Mapped from,20240227,20991231,NA,Entrapment of extraocular muscle,609325001,Condition,SNOMED,Disorder,"Inferior oblique muscle entrapment, right eye",Condition,ICD10CM,6-char billing code,NA,H50.621,20231001,20991231,NA,"Inferior oblique muscle entrapment, ",NA,NA,NA
43530804,785965,Mapped from,20240227,20991231,NA,Entrapment of extraocular muscle,609325001,Condition,SNOMED,Disorder,"Inferior rectus muscle entrapment, left eye",Condition,ICD10CM,6-char billing code,NA,H50.632,20231001,20991231,NA,"Inferior rectus muscle entrapment, ",NA,NA,NA
43530804,785968,Mapped from,20240227,20991231,NA,Entrapment of extraocular muscle,609325001,Condition,SNOMED,Disorder,"Lateral rectus muscle entrapment, right eye",Condition,ICD10CM,6-char billing code,NA,H50.641,20231001,20991231,NA,"Lateral rectus muscle entrapment, ",NA,NA,NA
43530804,785969,Mapped from,20240227,20991231,NA,Entrapment of extraocular muscle,609325001,Condition,SNOMED,Disorder,"Lateral rectus muscle entrapment, left eye",Condition,ICD10CM,6-char billing code,NA,H50.642,20231001,20991231,NA,"Lateral rectus muscle entrapment, ",NA,NA,NA
43530804,785974,Mapped from,20240227,20991231,NA,Entrapment of extraocular muscle,609325001,Condition,SNOMED,Disorder,"Medial rectus muscle entrapment, unspecified eye",Condition,ICD10CM,6-char billing code,NA,H50.659,20231001,20991231,NA,"Medial rectus muscle entrapment, ",NA,NA,NA
43530685,37200223,Mapped from,20171001,20991231,NA,Proliferative retinopathy due to type 2 diabetes mellitus,1501000119109,Condition,SNOMED,Disorder,"Type 2 diabetes mellitus with proliferative diabetic retinopathy with macular edema, left eye",Condition,ICD10CM,7-char billing code,NA,E11.3512,20170101,20991231,NA,"Type 2 diabetes mellitus with proliferative diabetic retinopathy with macular edema, ",1,150080,1612585
43530685,37200232,Mapped from,20171001,20991231,NA,Proliferative retinopathy due to type 2 diabetes mellitus,1501000119109,Condition,SNOMED,Disorder,"Type 2 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, right eye",Condition,ICD10CM,7-char billing code,NA,E11.3531,20170101,20991231,NA,"Type 2 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, ",1,13878,73232
