"concept_id_1","concept_id_2","Patient.Count","Event.Count","concept_name.y","concept_name.x"
601619,45596549,13391248,72573325,"Pain in right knee","Pain of right knee joint"
601622,45533816,12482594,65065042,"Pain in left knee","Pain of left knee region"
78232,45591807,9873663,56570975,"Pain in right shoulder","Shoulder joint pain"
78232,45591808,8781187,46699136,"Pain in left shoulder","Shoulder joint pain"
379805,45538312,16657951,44146602,"Myopia, bilateral","Myopia"
4170554,45562699,8468321,40544216,"Pain in right hip","Hip pain"
4079750,45577165,6642512,40049802,"Unilateral primary osteoarthritis, right knee","Osteoarthritis of knee"
439297,45533277,13670482,39066466,"Age-related nuclear cataract, bilateral","Nuclear senile cataract"
4079750,45538681,6189796,36462872,"Unilateral primary osteoarthritis, left knee","Osteoarthritis of knee"
762294,45562840,10019184,35307170,"Pain in right foot","Pain in right foot"
4170554,45572430,7683807,35042054,"Pain in left hip","Hip pain"
765131,45538868,9449372,32519843,"Pain in left foot","Pain in left foot"
378427,45557293,9931574,29427932,"Dry eye syndrome of bilateral lacrimal glands","Tear film insufficiency"
376415,45547933,12295755,27232578,"Hypermetropia, bilateral","Hypermetropia"
380706,45533354,12745719,26783758,"Regular astigmatism, bilateral","Regular astigmatism"
4111231,45601546,5370447,25393223,"Pain in right toe(s)","Pain in toe"
4111231,45591936,5016254,23047430,"Pain in left toe(s)","Pain in toe"
4115171,45533939,7324513,20018247,"Pain in right leg","Pain in right lower limb"
4117695,45582247,7135369,19116898,"Pain in left leg","Pain in left lower limb"
4288310,45601049,5444297,18996965,"Occlusion and stenosis of bilateral carotid arteries","Carotid artery obstruction"
759852,45567343,3551847,18529020,"Cellulitis of left lower limb","Cellulitis of left lower limb"
4110815,35207618,5829163,17999139,"Sensorineural hearing loss, bilateral","Sensorineural hearing loss of bilateral ears"
759853,45581925,3468936,17879686,"Cellulitis of right lower limb","Cellulitis of right lower limb"
439297,45596049,5061579,17255409,"Age-related nuclear cataract, left eye","Nuclear senile cataract"
78508,45538740,5212269,17049479,"Pain in right ankle and joints of right foot","Arthralgia of the ankle and/or foot"
