"concept_id_1","concept_name.x","total_patient_count","total_event_count","n","concepts","concepts2","percentile_rank","concept_code"
36684613,"Dermatochalasis of right upper eyelid",1803429,4476429,1,"100%~Dermatochalasis of right upper eyelid (H02.831)45547788;1803429 patients","Dermatochalasis of right upper eyelid",0.975308641975309,"331651000119104"
36684676,"Dermatochalasis of left upper eyelid",1623250,3946478,1,"100%~Dermatochalasis of left upper eyelid (H02.834)45571861;1623250 patients","Dermatochalasis of left upper eyelid",0.973936899862826,"337261000119107"
36713126,"Blepharitis of left eyelid",1909094,3612579,4,"40.1%~Unspecified blepharitis left upper eyelid (H01.004)45557265;780487 patients | 
29.8%~Unspecified blepharitis left lower eyelid (H01.005)45586332;561455 patients | 
23%~Unspecified blepharitis left eye, unspecified eyelid (H01.006)45538154;414323 patients | 
7.1%~Unspecified blepharitis left eye, upper and lower eyelids (H01.00B)1595551;152829 patients","Unspecified blepharitis left upper eyelid | 
Unspecified blepharitis left lower eyelid | 
Unspecified blepharitis left eye, unspecified eyelid | 
Unspecified blepharitis left eye, upper and lower eyelids",0.968449931412894,"341921000119102"
37164929,"Seborrheic blepharitis of right lower eyelid",477365,969503,1,"100%~Squamous blepharitis right lower eyelid (H01.022)45547775;477365 patients","Squamous blepharitis right lower eyelid",0.914951989026063,"1237000005"
37109050,"Meibomian gland dysfunction of right eye",460988,837162,4,"48.1%~Meibomian gland dysfunction right eye, upper and lower eyelids (H02.88A)1595584;221666 patients | 
28.4%~Meibomian gland dysfunction of right eye, unspecified eyelid (H02.883)1595579;123627 patients | 
14.5%~Meibomian gland dysfunction right lower eyelid (H02.882)1595578;70196 patients | 
9%~Meibomian gland dysfunction right upper eyelid (H02.881)1595577;45499 patients","Meibomian gland dysfunction right eye, upper and lower eyelids | 
Meibomian gland dysfunction of right eye, unspecified eyelid | 
Meibomian gland dysfunction right lower eyelid | 
Meibomian gland dysfunction right upper eyelid",0.905349794238683,"16237381000119100"
37164930,"Seborrheic blepharitis of left lower eyelid",413045,813873,1,"100%~Squamous blepharitis left lower eyelid (H01.025)45557268;413045 patients","Squamous blepharitis left lower eyelid",0.899862825788752,"1237001009"
36712705,"Vitreomacular adhesion of left eye",146624,486196,1,"100%~Vitreomacular adhesion, left eye (H43.822)45605694;146624 patients","Vitreomacular adhesion, left eye",0.858710562414266,"10762151000119101"
36684646,"Senile ectropion of right lower eyelid",194108,476224,1,"100%~Senile ectropion of right lower eyelid (H02.132)45595979;194108 patients","Senile ectropion of right lower eyelid",0.857338820301783,"334301000119105"
36684711,"Senile ectropion of left lower eyelid",192700,467101,1,"100%~Senile ectropion of left lower eyelid (H02.135)45542931;192700 patients","Senile ectropion of left lower eyelid",0.8559670781893,"339901000119108"
4164640,"Blind right eye",187853,420073,7,"100%~Unqualified visual loss, right eye, normal vision left eye (H54.61)45562286;187853 patients | 
NA | 
NA | 
NA | 
NA | 
NA | 
NA","Unqualified visual loss, right eye, normal vision left eye | 
Blindness right eye, category 4 | 
Blindness, right eye, category 3 | 
Blindness, right eye, category 4 | 
Blindness, right eye, category 5 | 
Blindness right eye, category 3 | 
Blindness right eye, category 5",0.844993141289438,"274572000"
