"concept_id_1","concept_name.x","total_patient_count","total_event_count","n","concepts","concepts2","percentile_rank","concept_code"
439297,"Nuclear senile cataract",10620919,35321474,3,"48.9%~Age-related nuclear cataract, left eye (H25.12)45596049;5061579 patients | 
48.2%~Age-related nuclear cataract, right eye (H25.11)45600888;5044072 patients | 
3%~Age-related nuclear cataract, unspecified eye (H25.10)45557377;515268 patients","Age-related nuclear cataract, left eye | 
Age-related nuclear cataract, right eye | 
Age-related nuclear cataract, unspecified eye",1,"193589009"
378427,"Tear film insufficiency",12036240,34357725,4,"85.7%~Dry eye syndrome of bilateral lacrimal glands (H04.123)45557293;9931574 patients | 
7.5%~Dry eye syndrome of unspecified lacrimal gland (H04.129)45542948;1029449 patients | 
3.5%~Dry eye syndrome of right lacrimal gland (H04.121)45538179;545011 patients | 
3.4%~Dry eye syndrome of left lacrimal gland (H04.122)45566939;530206 patients","Dry eye syndrome of bilateral lacrimal glands | 
Dry eye syndrome of unspecified lacrimal gland | 
Dry eye syndrome of right lacrimal gland | 
Dry eye syndrome of left lacrimal gland",0.998628257887517,"46152009"
376966,"Exudative age-related macular degeneration",1779195,15736060,15,"37.7%~Exudative age-related macular degeneration, right eye, with active choroidal neovascularization (H35.3211)37200405;471394 patients | 
36.9%~Exudative age-related macular degeneration, left eye, with active choroidal neovascularization (H35.3221)37200410;463746 patients | 
6.6%~Exudative age-related macular degeneration, right eye, with inactive choroidal neovascularization (H35.3212)37200406;199206 patients | 
6.6%~Exudative age-related macular degeneration, left eye, with inactive choroidal neovascularization (H35.3222)37200411;198862 patients | 
3%~Exudative age-related macular degeneration, left eye, with inactive scar (H35.3223)37200412;94673 patients | 
3%~Exudative age-related macular degeneration, right eye, with inactive scar (H35.3213)37200407;93962 patients | 
2.5%~Exudative age-related macular degeneration, right eye, stage unspecified (H35.3210)37200404;99485 patients | 
2.3%~Exudative age-related macular degeneration, left eye, stage unspecified (H35.3220)37200409;88762 patients | 
1.3%~Exudative age-related macular degeneration, unspecified eye, stage unspecified (H35.3290)37200419;63219 patients | 
0%~Exudative age-related macular degeneration, unspecified eye, with active choroidal neovascularization (H35.3291)37200420;2833 patients | 
0%~Exudative age-related macular degeneration, unspecified eye, with inactive choroidal neovascularization (H35.3292)37200421;1625 patients | 
0%~Exudative age-related macular degeneration, unspecified eye, with inactive scar (H35.3293)37200422;1428 patients | 
NA | 
NA | 
NA","Exudative age-related macular degeneration, right eye, with active choroidal neovascularization | 
Exudative age-related macular degeneration, left eye, with active choroidal neovascularization | 
Exudative age-related macular degeneration, right eye, with inactive choroidal neovascularization | 
Exudative age-related macular degeneration, left eye, with inactive choroidal neovascularization | 
Exudative age-related macular degeneration, left eye, with inactive scar | 
Exudative age-related macular degeneration, right eye, with inactive scar | 
Exudative age-related macular degeneration, right eye, stage unspecified | 
Exudative age-related macular degeneration, left eye, stage unspecified | 
Exudative age-related macular degeneration, unspecified eye, stage unspecified | 
Exudative age-related macular degeneration, unspecified eye, with active choroidal neovascularization | 
Exudative age-related macular degeneration, unspecified eye, with inactive choroidal neovascularization | 
Exudative age-related macular degeneration, unspecified eye, with inactive scar | 
Exudative age-related macular degeneration, left eye | 
Exudative age-related macular degeneration, right eye | 
Exudative age-related macular degeneration, unspecified eye",0.997256515775034,"414173003"
376400,"Combined form of senile cataract",4763400,14711205,3,"50%~Combined forms of age-related cataract, left eye (H25.812)45605645;2358295 patients | 
49.2%~Combined forms of age-related cataract, right eye (H25.811)45557378;2333700 patients | 
0.8%~Combined forms of age-related cataract, unspecified eye (H25.819)45557379;71405 patients","Combined forms of age-related cataract, left eye | 
Combined forms of age-related cataract, right eye | 
Combined forms of age-related cataract, unspecified eye",0.995884773662551,"11422002"
35624213,"Secondary cataract",4977842,11286731,3,"49.4%~Other secondary cataract, right eye (H26.491)45567018;2446673 patients | 
48.7%~Other secondary cataract, left eye (H26.492)45547846;2418724 patients | 
1.9%~Other secondary cataract, unspecified eye (H26.499)45581633;112445 patients","Other secondary cataract, right eye | 
Other secondary cataract, left eye | 
Other secondary cataract, unspecified eye",0.994513031550069,"766834007"
379010,"Epiretinal membrane",2818070,9859987,3,"49.8%~Puckering of macula, left eye (H35.372)45538268;1384800 patients | 
48.4%~Puckering of macula, right eye (H35.371)45605675;1345895 patients | 
1.8%~Puckering of macula, unspecified eye (H35.379)45571956;87375 patients","Puckering of macula, left eye | 
Puckering of macula, right eye | 
Puckering of macula, unspecified eye",0.993141289437586,"367649002"
435262,"Primary open angle glaucoma",2465258,9623098,16,"16.5%~Primary open-angle glaucoma, left eye, moderate stage (H40.1122)37200432;395344 patients | 
16.4%~Primary open-angle glaucoma, right eye, mild stage (H40.1111)37200425;410034 patients | 
16%~Primary open-angle glaucoma, right eye, moderate stage (H40.1112)37200426;383372 patients | 
14.5%~Primary open-angle glaucoma, left eye, mild stage (H40.1121)37200431;367758 patients | 
12.9%~Primary open-angle glaucoma, left eye, severe stage (H40.1123)37200433;252782 patients | 
12.5%~Primary open-angle glaucoma, right eye, severe stage (H40.1113)37200427;248567 patients | 
2.4%~Primary open-angle glaucoma, unspecified eye, stage unspecified (H40.1190)37200442;79525 patients | 
1.8%~Primary open-angle glaucoma, right eye, stage unspecified (H40.1110)37200424;81790 patients | 
1.5%~Primary open-angle glaucoma, left eye, indeterminate stage (H40.1124)37200434;46573 patients | 
1.5%~Primary open-angle glaucoma, right eye, indeterminate stage (H40.1114)37200428;47100 patients | 
1.4%~Primary open-angle glaucoma, left eye, stage unspecified (H40.1120)37200430;66107 patients | 
1%~Primary open-angle glaucoma, unspecified eye, moderate stage (H40.1192)37200444;30514 patients | 
0.9%~Primary open-angle glaucoma, unspecified eye, mild stage (H40.1191)37200443;29799 patients | 
0.6%~Primary open-angle glaucoma, unspecified eye, severe stage (H40.1193)37200445;17859 patients | 
0.2%~Primary open-angle glaucoma, unspecified eye, indeterminate stage (H40.1194)37200446;8134 patients | 
NA","Primary open-angle glaucoma, left eye, moderate stage | 
Primary open-angle glaucoma, right eye, mild stage | 
Primary open-angle glaucoma, right eye, moderate stage | 
Primary open-angle glaucoma, left eye, mild stage | 
Primary open-angle glaucoma, left eye, severe stage | 
Primary open-angle glaucoma, right eye, severe stage | 
Primary open-angle glaucoma, unspecified eye, stage unspecified | 
Primary open-angle glaucoma, right eye, stage unspecified | 
Primary open-angle glaucoma, left eye, indeterminate stage | 
Primary open-angle glaucoma, right eye, indeterminate stage | 
Primary open-angle glaucoma, left eye, stage unspecified | 
Primary open-angle glaucoma, unspecified eye, moderate stage | 
Primary open-angle glaucoma, unspecified eye, mild stage | 
Primary open-angle glaucoma, unspecified eye, severe stage | 
Primary open-angle glaucoma, unspecified eye, indeterminate stage | 
Primary open-angle glaucoma, unspecified eye",0.991769547325103,"77075001"
320420,"Vitreous degeneration",3790967,8776361,3,"51.2%~Vitreous degeneration, right eye (H43.811)45600927;1915633 patients | 
45.3%~Vitreous degeneration, left eye (H43.812)45557433;1704406 patients | 
3.5%~Vitreous degeneration, unspecified eye (H43.819)45576756;170928 patients","Vitreous degeneration, right eye | 
Vitreous degeneration, left eye | 
Vitreous degeneration, unspecified eye",0.99039780521262,"60189009"
372629,"Nonexudative age-related macular degeneration",2264237,8210095,18,"23.5%~Nonexudative age-related macular degeneration, left eye, intermediate dry stage (H35.3122)37200388;377125 patients | 
23.4%~Nonexudative age-related macular degeneration, right eye, intermediate dry stage (H35.3112)37200382;377807 patients | 
13.6%~Nonexudative age-related macular degeneration, right eye, early dry stage (H35.3111)37200381;399954 patients | 
12.8%~Nonexudative age-related macular degeneration, left eye, early dry stage (H35.3121)37200387;373978 patients | 
4.1%~Nonexudative age-related macular degeneration, left eye, advanced atrophic with subfoveal involvement (H35.3124)37200390;89134 patients | 
4.1%~Nonexudative age-related macular degeneration, right eye, advanced atrophic with subfoveal involvement (H35.3114)37200384;87897 patients | 
3.9%~Nonexudative age-related macular degeneration, right eye, advanced atrophic without subfoveal involvement (H35.3113)37200383;102390 patients | 
3.8%~Nonexudative age-related macular degeneration, right eye, stage unspecified (H35.3110)37200380;123092 patients | 
3.7%~Nonexudative age-related macular degeneration, left eye, advanced atrophic without subfoveal involvement (H35.3123)37200389;91588 patients | 
3.5%~Nonexudative age-related macular degeneration, unspecified eye, stage unspecified (H35.3190)37200398;125033 patients | 
2.9%~Nonexudative age-related macular degeneration, left eye, stage unspecified (H35.3120)37200386;84020 patients | 
0.4%~Nonexudative age-related macular degeneration, unspecified eye, early dry stage (H35.3191)37200399;18872 patients | 
0.2%~Nonexudative age-related macular degeneration, unspecified eye, intermediate dry stage (H35.3192)37200400;8973 patients | 
0.1%~Nonexudative age-related macular degeneration, unspecified eye, advanced atrophic without subfoveal involvement (H35.3193)37200401;2459 patients | 
0%~Nonexudative age-related macular degeneration, unspecified eye, advanced atrophic with subfoveal involvement (H35.3194)37200402;1915 patients | 
NA | 
NA | 
NA","Nonexudative age-related macular degeneration, left eye, intermediate dry stage | 
Nonexudative age-related macular degeneration, right eye, intermediate dry stage | 
Nonexudative age-related macular degeneration, right eye, early dry stage | 
Nonexudative age-related macular degeneration, left eye, early dry stage | 
Nonexudative age-related macular degeneration, left eye, advanced atrophic with subfoveal involvement | 
Nonexudative age-related macular degeneration, right eye, advanced atrophic with subfoveal involvement | 
Nonexudative age-related macular degeneration, right eye, advanced atrophic without subfoveal involvement | 
Nonexudative age-related macular degeneration, right eye, stage unspecified | 
Nonexudative age-related macular degeneration, left eye, advanced atrophic without subfoveal involvement | 
Nonexudative age-related macular degeneration, unspecified eye, stage unspecified | 
Nonexudative age-related macular degeneration, left eye, stage unspecified | 
Nonexudative age-related macular degeneration, unspecified eye, early dry stage | 
Nonexudative age-related macular degeneration, unspecified eye, intermediate dry stage | 
Nonexudative age-related macular degeneration, unspecified eye, advanced atrophic without subfoveal involvement | 
Nonexudative age-related macular degeneration, unspecified eye, advanced atrophic with subfoveal involvement | 
Nonexudative age-related macular degeneration, right eye | 
Nonexudative age-related macular degeneration, left eye | 
Nonexudative age-related macular degeneration, unspecified eye",0.989026063100137,"414875008"
380706,"Regular astigmatism",4439615,8061320,3,"46%~Regular astigmatism, unspecified eye (H52.229)45552720;1808728 patients | 
27.2%~Regular astigmatism, right eye (H52.221)45557465;1321431 patients | 
26.8%~Regular astigmatism, left eye (H52.222)45562274;1309456 patients","Regular astigmatism, unspecified eye | 
Regular astigmatism, right eye | 
Regular astigmatism, left eye",0.987654320987654,"68905002"
